property_id,property_name,application_type,status,date_first_published,group,team,publishing_location,publishing_slug,repo_location,repo_slug
320388694,DfE Shiny Template,Resource,Live,,Statistics services unit,Explore education statistics platforms,public,,github/dfe-analytical-services,
321027237,School Places Scorecards Dashboard,Data dashboard,Live,,Pupil places planning,Pupil places planning,public,,github/dfe-analytical-services,
321221956,Career pathways dashboard,Data dashboard,Live,,Skills England,Skills England,public,,github/dfe-analytical-services,
325532095,Local skills dashboard,Data dashboard,Live,,Skills England,Skills England,public,,github/dfe-analytical-services,
329562708,NEET LA Scorecards,Data dashboard,Live,,NEET and Attainment Statistics,Post 16 Participation,public,,github/dfe-analytical-services,
332911495,Pupil Attendance in Schools,Data dashboard,Live,,School statistics unit,Attendance and absence team,public,pupil-attendance-in-schools,github/dfe-analytical-services,attendance-data-dashboard
333427017,Pupil Yields Dashboard,Data dashboard,Live,,Pupil places planning,Pupil places planning,public,,github/dfe-analytical-services,
335357375,Children's Social Care and Offending Dashboard,Data dashboard,Live,,Families analysis division,Families analysis division,public,,github/dfe-analytical-services,
337940033,KS4 Transition Matrices,Data dashboard,Live,,Attainment and performance statistics,11-16 Accountability Data and Development Team,public,,github/dfe-analytical-services,
337942916,KS5 Ready Reckoners,Data dashboard,Live,,Attainment and performance statistics,16-18 Accountability Data and Development,public,,github/dfe-analytical-services,
337963854,KS5 Attainment and Single Year Entries,Data dashboard,Live,,Attainment and performance statistics,16-18 Accountability Data and Development,public,,github/dfe-analytical-services,
337973867,KS4 Ready Reckoner,Data dashboard,Live,,Attainment and performance statistics,11-16 Accountability Data and Development Team,public,,github/dfe-analytical-services,
340733184,KS5 Transition Matrices,Data dashboard,Live,,Attainment and performance statistics,16-18 Accountability Data and Development,public,,github/dfe-analytical-services,
341787609,"LEO - Post-16 education and labour market activities, pathways and outcomes",Data dashboard,Live,,Central research division,LEO Strategic Analysis,public,,github/dfe-analytical-services,
352981413,EES Data Screener,Resource,Live,,Statistics services unit,Explore education statistics platforms,internal,,github/dfe-analytical-services,
352993849,Education Statistics Briefing Tool,Data dashboard,Live,,Statistics services unit,Statistics HoP office,internal,,,
352996665,Ministerial Briefing,Resource,Live,,Statistics services unit,Statistics HoP office,internal,,,
352997645,EES Analytics Dashboard,Data dashboard,Live,,Statistics services unit,Explore education statistics platforms,internal,,,
353197922,Analysts Guide,Resource,Live,,Statistics services unit,Statistical services unit,public,,github/dfe-analytical-services,
355503959,DfE Stats Away Day R-Shiny Demo,Resource,Live,,Statistics services unit,Statistics development,public,,,
372620110,Level 2 and 3 attainment by age 19,Data dashboard,Live,,Attainment and performance statistics,16-18 Accountability Data and Development,public,,github/dfe-analytical-services,
376956636,SEND AP dashboard,Data dashboard,Retired,,Families analysis division,Families analysis division,sector,,github/dfe-analytical-services,
389019777,Further Education Outcomes Industry Dashboard,Data dashboard,Live,,Further education and skills,Further education and skills,public,,github/dfe-analytical-services,
389933791,skillsDataCatalogue,Resource,Live,,Skills England,Skills England,public,,github/dfe-analytical-services,
413039586,Jobs Explorer Tool,Data dashboard,Live,,Skills England,Skills England,public,,github/dfe-analytical-services,
418145024,Jobs and Skills Dashboard,Data dashboard,Live,,Skills England,Skills England,public,,github/dfe-analytical-services,
431482470,Children's Social Care Outcomes and Enablers,Data dashboard,Live,,Children's social care,Children's social care,public,,github/dfe-analytical-services,
439475779,MapApp,Data dashboard,Live,,Statistics services unit,Statistics development,internal,,,
440389262,Pupil Absence Distributions,Data dashboard,Live,,School statistics unit,Attendance and absence team,public,,github/dfe-analytical-services,
459759599,Data Explorer App,Resource,Live,,Advanced analytics unit,Advanced analytics unit,internal,,,
470510314,Local authority interactive tool,Data dashboard,Live,,Regions group,Regions group,public,,github/dfe-analytical-services,
474655079,Dashboard Analytics Dashboard,Data dashboard,Live,,Statistics services unit,Explore education statistics platforms,internal,,,
478514227,Git academy,Resource,Live,,Statistics services unit,Statistics development,public,,github/dfe-analytical-services,
484274656,Apprenticeships provider dashboard,Data dashboard,Live,17/07/2025,Further education and skills,Further education and skills,public,,github/dfe-analytical-services,
493878568,LEO provider dashboard,Data dashboard,Live,26/06/2025,Higher education analysis division,Higher education longitudinal education outcomes,public,,github/dfe-analytical-services,leo-provider-tool
494501349,Statistics HoP Hub,Resource,Live,,Statistics services unit,Statistics HoP office,internal,,,
509854306,Further education provider outcomes,Data dashboard,Live,,Skills policy analysis,Skills policy analysis,public,,github/dfe-analytical-services,
514499526,Further education net present value model,Data dashboard,Live,,Further education and skills,Further education and skills,internal,,github/dfe-analytical-services,
525961684,Publication RAP self-assessment tool,Resource,Live,,Statistics services unit,Statistics development,internal,,,
530617374,Ask Frederick,Resource,Live,,Statistics services unit,Statistics services unit,internal,,,
532891639,English and Maths Progress Matrix,Data dashboard,Live,,Attainment and performance statistics,11-16 Accountability Data and Development Team,public,,github/dfe-analytical-services,
533049770,Teacher workforce analysis dashboard,Data dashboard,Live,,Teacher analysis division,Teacher Workforce Model & Allocations Team,public,,github/dfe-analytical-services,
543055271,HE widening participation,Data dashboard,In development,09/07/2026,Higher Education Statistics and Resesarch Unit,Higher Education Statistics and Resesarch Unit,public,,github/dfe-analytical-services,
